class_id,kode_mk,nama_mk,sks,sks_asli,dosen,dosen_priority,jumlah_mhs,semester,parallel,is_split
68,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,E,False
111,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,F,False
147,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,C,False
163,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,G,False
164,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,B,False
58,CIF61233,Administrasi sistem server,3,3,Widhi Yahya,1,40,Pilihan,A,False
6,CIF61124,Arsitektur Berbasis Layanan (Sesi 1),2,4,Adam Hendra Brata,1,40,Pilihan,A,True
7,CIF61124,Arsitektur Berbasis Layanan (Sesi 2),2,4,Adam Hendra Brata,1,40,Pilihan,A,True
121,CIF61346,Deep Learning,3,3,Fitra Abdurrachman Bachtiar,1,40,Pilihan,A,False
86,CIF60038,DevSecOps (Sesi 1),2,4,Dany Primanita Kartikasari,1,40,Pilihan,A,True
87,CIF60038,DevSecOps (Sesi 2),2,4,Dany Primanita Kartikasari,1,40,Pilihan,A,True
133,CIF61235,Forensik Digital,3,3,Ratih Kartika Dewi,1,40,Pilihan,A,False
74,CIF61230,Jaringan komputer lanjut,3,3,Primantara Hari Trisnawan,1,40,Pilihan,A,False
161,CIF61236,Keamanan Jaringan,3,3,Dany Primanita Kartikasari,1,40,Pilihan,A,False
91,CIF60048,Machine Learning Operations (MLOps) (Sesi 1),2,4,Yuita Arum Sari,1,40,Pilihan,A,True
92,CIF60048,Machine Learning Operations (MLOps) (Sesi 2),2,4,Yuita Arum Sari,1,40,Pilihan,A,True
18,CIF61125,Pemrograman Gim (Sesi 1),2,4,Agi Putra Kharisma,2,40,Pilihan,A,True
19,CIF61125,Pemrograman Gim (Sesi 2),2,4,Agi Putra Kharisma,2,40,Pilihan,A,True
44,CIF61341,Pemrosesan Bahasa Alami,3,3,Rizal Setya Perdana,1,40,Pilihan,A,False
32,CIF61347,Penerapan Kecerdasan Artifisial,3,3,Budi Darma Setiawan,1,40,Pilihan,A,False
22,CIF61339,Pengolahan Citra Digital dan Visi Komputer (Sesi 1),2,4,Muh. Arif Rahman,1,40,Pilihan,A,True
23,CIF61339,Pengolahan Citra Digital dan Visi Komputer (Sesi 2),2,4,Muh. Arif Rahman,1,40,Pilihan,A,True
84,CIF61121,Pola Perancangan,3,3,Nurudin Santoso,1,40,Pilihan,A,False
59,CIF61126,Realitas terkembang,3,3,Adam Hendra Brata,1,40,Pilihan,A,False
