ID Kelas,Kode MK,Mata Kuliah,SKS,Kelas,Dosen,Hari,Jam Mulai,Jam Selesai,Ruangan,Prioritas Dosen
91,COM60016,Pengenalan Keilmuan Komputer,2,B,Ratih Kartika Dewi,rabu,07:00:00,09:30:00,F3.10,1
8,CIF61302,Statistika dan Teori Peluang,2,F,Wijaya Kurniawan,rabu,07:00:00,08:40:00,F3.14,1
45,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,F,Denny Sagita Rusdianto,rabu,07:00:00,09:30:00,F3.4,1
170,COM60016,Pengenalan Keilmuan Komputer,2,F,Sabriansyah Rizqika Akbar,rabu,08:45:00,10:25:00,F4.13,1
80,COM60004,Algoritma dan Struktur Data,3,B,Budi Darma Setiawan,rabu,09:35:00,11:20:00,F3.12,1
56,CIF65319,Statistika inferensi,2,D,Marji,rabu,09:35:00,11:20:00,F3.5,1
157,COM60014,Pemrograman Dasar (Sesi 2),2,C,Dany Primanita Kartikasari,rabu,09:35:00,11:20:00,F3.8,1
138,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,C,Nurudin Santoso,rabu,09:35:00,12:05:00,F4.2,1
137,COM60025,Kalkulus,2,B,Edy Santoso,rabu,09:35:00,12:05:00,F4.3,1
38,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,B,Denny Sagita Rusdianto,rabu,09:35:00,11:20:00,F4.5,1
75,CIF60048,Machine Learning Operations (MLOps) (Sesi 1),2,A,Sigit Adinugroho,rabu,09:35:00,12:05:00,F4.8,1
110,COM60025,Kalkulus,2,C,Muh. Arif Rahman,rabu,10:30:00,12:10:00,F2.5,1
104,COM60016,Pengenalan Keilmuan Komputer,2,A,Ratih Kartika Dewi,rabu,10:30:00,12:10:00,F3.1,1
78,CIF61341,Pemrosesan Bahasa Alami,3,A,Rizal Setya Perdana,rabu,10:30:00,12:10:00,F3.4,1
54,CIF65116,Komputer Grafis,2,B,Herman Tolle,rabu,10:30:00,12:10:00,F4.13,1
125,CIF65116,Komputer Grafis,2,G,Herman Tolle,rabu,12:30:00,15:00:00,F2.2,1
84,CIF61124,Arsitektur Berbasis Layanan (Sesi 1),2,A,Adam Hendra Brata,rabu,12:30:00,15:00:00,F2.4,1
151,CIF65319,Statistika inferensi,2,B,Marji,rabu,12:30:00,14:10:00,F2.5,1
62,CIF63110,Kecerdasan Artifisial,2,B,Wayan Firdaus Mahmudy,rabu,12:30:00,14:10:00,F2.6,1
146,COM60011,Arsitektur dan Organisasi Komputer,2,A,Barlian Henryranu Prasetio,rabu,12:30:00,14:10:00,F3.6,1
34,CIF63207,Jaringan Komputer (Sesi 2),2,A,Primantara Hari Trisnawan,rabu,12:30:00,15:00:00,F3.9,1
159,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,D,Nur Hazbiy Shaffan,rabu,12:30:00,14:10:00,F4.10,1
53,CIF63108,Interaksi Manusia dan Komputer,2,B,Lutfi Fanani,rabu,12:30:00,15:00:00,F4.13,1
96,COM60025,Kalkulus,2,F,Muh. Arif Rahman,rabu,12:30:00,14:10:00,F4.2,1
3,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,A,Nurudin Santoso,rabu,14:15:00,15:55:00,F3.14,1
106,COM60016,Pengenalan Keilmuan Komputer,2,G,Arief Andy Soebroto,rabu,14:15:00,15:55:00,F4.12,1
143,COM60011,Arsitektur dan Organisasi Komputer,2,G,Barlian Henryranu Prasetio,rabu,14:30:00,16:10:00,F4.3,1
128,CIF65319,Statistika inferensi,2,C,Marji,rabu,15:20:00,17:00:00,F3.11,1
